@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "15.36.40"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "E02DR15"           "DRIFT"                     73.5634138              0.163                  0        -20.1393623                  0           -16.4804         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX3"            "MONITOR"                   73.5634138              1e-12                  0        -20.1393623                  0           -16.4804         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR16"           "DRIFT"                     73.7264138              0.163                  0       -19.99837354                  0       -16.56219956         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR17"           "DRIFT"                     73.8214138              0.095                  0       -19.91620217                  0       -16.60987415         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0205"             "QUADRUPOLE"                74.6430137          0.8215999                  0       -19.20554968                  0       -17.02218403         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR18"           "DRIFT"                     74.7380137              0.095                  0       -19.12337832                  0       -17.06985862         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR19"           "DRIFT"                     74.8037137             0.0657                  0       -19.06655033                  0       -17.10282936         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KS2"            "SEXTUPOLE"                 75.1437137               0.34                  0       -18.77246333                  0       -17.27345421         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR20"           "DRIFT"                     75.3237137               0.18                  0       -18.61677022                  0       -17.36378501         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR21"           "DRIFT"                     77.1662371          1.8425234                  0       -17.02305796                  0       -18.28843289         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR22"           "DRIFT"                     77.9462371               0.78                  0       -16.34838779                  0       -18.67986637         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR23"           "DRIFT"                     77.9662371               0.02                  0       -16.33108856                  0       -18.68990313         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020201"        "SBEND"                    78.78394556       0.8177084625       0.1308333375       -15.59901218                  0       -19.05288807       -4.317500137                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX3"            "HKICKER"                  78.78394556              1e-12                  0       -15.59901218                  0       -19.05288807       -4.317500137                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020202"        "SBEND"                    79.60165403       0.8177084625       0.1308333375       -14.82583732                  0       -19.31726379       -4.448333475                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020203"        "SBEND"                    80.41936249       0.8177084625       0.1308333375       -14.02477982                  0       -19.47851132       -4.579166812                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020204"        "SBEND"                    81.23707095       0.8177084625       0.1308333375       -13.20953213                  0       -19.53387447        -4.71000015                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020205"        "SBEND"                    82.05477941       0.8177084625       0.1308333375       -12.39402923                  0       -19.48240691       -4.840833487                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020206"        "SBEND"                    82.87248788       0.8177084625       0.1308333375       -11.59221049                  0       -19.32498839       -4.971666825                  0                  0                  0                  0          0          0                  0                  0 ""                 
