@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1        157                  0                  0                  0                  0        19549.05496                  0                  0        209.3975473
          1        158                  0                  0                  0                  0        19673.57123                  0                  0        209.3975473
          1        159                  0                  0                  0                  0        19798.08751                  0                  0        209.3975473
          1        160                  0                  0                  0                  0        19922.60378                  0                  0        209.3975473
          1        161                  0                  0                  0                  0        20047.12005                  0                  0        209.3975473
          1        162                  0                  0                  0                  0        20171.63633                  0                  0        209.3975473
          1        163                  0                  0                  0                  0         20296.1526                  0                  0        209.3975473
          1        164                  0                  0                  0                  0        20420.66887                  0                  0        209.3975473
          1        165                  0                  0                  0                  0        20545.18515                  0                  0        209.3975473
          1        166                  0                  0                  0                  0        20669.70142                  0                  0        209.3975473
          1        167                  0                  0                  0                  0         20794.2177                  0                  0        209.3975473
          1        168                  0                  0                  0                  0        20918.73397                  0                  0        209.3975473
          1        169                  0                  0                  0                  0        21043.25024                  0                  0        209.3975473
          1        170                  0                  0                  0                  0        21167.76652                  0                  0        209.3975473
          1        171                  0                  0                  0                  0        21292.28279                  0                  0        209.3975473
          1        172                  0                  0                  0                  0        21416.79906                  0                  0        209.3975473
          1        173                  0                  0                  0                  0        21541.31534                  0                  0        209.3975473
          1        174                  0                  0                  0                  0        21665.83161                  0                  0        209.3975473
          1        175                  0                  0                  0                  0        21790.34788                  0                  0        209.3975473
          1        176                  0                  0                  0                  0        21914.86416                  0                  0        209.3975473
          1        177                  0                  0                  0                  0        22039.38043                  0                  0        209.3975473
          1        178                  0                  0                  0                  0        22163.89671                  0                  0        209.3975473
          1        179                  0                  0                  0                  0        22288.41298                  0                  0        209.3975473
          1        180                  0                  0                  0                  0        22412.92925                  0                  0        209.3975473
          1        181                  0                  0                  0                  0        22537.44553                  0                  0        209.3975473
          1        182                  0                  0                  0                  0         22661.9618                  0                  0        209.3975473
          1        183                  0                  0                  0                  0        22786.47807                  0                  0        209.3975473
          1        184                  0                  0                  0                  0        22910.99435                  0                  0        209.3975473
          1        185                  0                  0                  0                  0        23035.51062                  0                  0        209.3975473
          1        186                  0                  0                  0                  0        23160.02689                  0                  0        209.3975473
          1        187                  0                  0                  0                  0        23284.54317                  0                  0        209.3975473
          1        188                  0                  0                  0                  0        23409.05944                  0                  0        209.3975473
          1        189                  0                  0                  0                  0        23533.57571                  0                  0        209.3975473
          1        190                  0                  0                  0                  0        23658.09199                  0                  0        209.3975473
          1        191                  0                  0                  0                  0        23782.60826                  0                  0        209.3975473
          1        192                  0                  0                  0                  0        23907.12454                  0                  0        209.3975473
          1        193                  0                  0                  0                  0        24031.64081                  0                  0        209.3975473
          1        194                  0                  0                  0                  0        24156.15708                  0                  0        209.3975473
          1        195                  0                  0                  0                  0        24280.67336                  0                  0        209.3975473
          1        196                  0                  0                  0                  0        24405.18963                  0                  0        209.3975473
          1        197                  0                  0                  0                  0         24529.7059                  0                  0        209.3975473
          1        198                  0                  0                  0                  0        24654.22218                  0                  0        209.3975473
          1        199                  0                  0                  0                  0        24778.73845                  0                  0        209.3975473
          1        200                  0                  0                  0                  0        24903.25472                  0                  0        209.3975473
          1        201                  0                  0                  0                  0          25027.771                  0                  0        209.3975473
          1        202                  0                  0                  0                  0        25152.28727                  0                  0        209.3975473
          1        203                  0                  0                  0                  0        25276.80355                  0                  0        209.3975473
          1        204                  0                  0                  0                  0        25401.31982                  0                  0        209.3975473
          1        205                  0                  0                  0                  0        25525.83609                  0                  0        209.3975473
          1        206                  0                  0                  0                  0        25650.35237                  0                  0        209.3975473
          1        207                  0                  0                  0                  0        25774.86864                  0                  0        209.3975473
          1        208                  0                  0                  0                  0        25899.38491                  0                  0        209.3975473
          1        209                  0                  0                  0                  0        26023.90119                  0                  0        209.3975473
          1        210                  0                  0                  0                  0        26148.41746                  0                  0        209.3975473
          1        211                  0                  0                  0                  0        26272.93373                  0                  0        209.3975473
          1        212                  0                  0                  0                  0        26397.45001                  0                  0        209.3975473
          1        213                  0                  0                  0                  0        26521.96628                  0                  0        209.3975473
          1        214                  0                  0                  0                  0        26646.48256                  0                  0        209.3975473
          1        215                  0                  0                  0                  0        26770.99883                  0                  0        209.3975473
          1        216                  0                  0                  0                  0         26895.5151                  0                  0        209.3975473
          1        217                  0                  0                  0                  0        27020.03138                  0                  0        209.3975473
          1        218                  0                  0                  0                  0        27144.54765                  0                  0        209.3975473
          1        219                  0                  0                  0                  0        27269.06392                  0                  0        209.3975473
          1        220                  0                  0                  0                  0         27393.5802                  0                  0        209.3975473
          1        221                  0                  0                  0                  0        27518.09647                  0                  0        209.3975473
          1        222                  0                  0                  0                  0        27642.61274                  0                  0        209.3975473
          1        223                  0                  0                  0                  0        27767.12902                  0                  0        209.3975473
          1        224                  0                  0                  0                  0        27891.64529                  0                  0        209.3975473
          1        225                  0                  0                  0                  0        28016.16157                  0                  0        209.3975473
          1        226                  0                  0                  0                  0        28140.67784                  0                  0        209.3975473
          1        227                  0                  0                  0                  0        28265.19411                  0                  0        209.3975473
          1        228                  0                  0                  0                  0        28389.71039                  0                  0        209.3975473
          1        229                  0                  0                  0                  0        28514.22666                  0                  0        209.3975473
          1        230                  0                  0                  0                  0        28638.74293                  0                  0        209.3975473
          1        231                  0                  0                  0                  0        28763.25921                  0                  0        209.3975473
          1        232                  0                  0                  0                  0        28887.77548                  0                  0        209.3975473
          1        233                  0                  0                  0                  0        29012.29175                  0                  0        209.3975473
          1        234                  0                  0                  0                  0        29136.80803                  0                  0        209.3975473
          1        235                  0                  0                  0                  0         29261.3243                  0                  0        209.3975473
          1        236                  0                  0                  0                  0        29385.84058                  0                  0        209.3975473
          1        237                  0                  0                  0                  0        29510.35685                  0                  0        209.3975473
          1        238                  0                  0                  0                  0        29634.87312                  0                  0        209.3975473
          1        239                  0                  0                  0                  0         29759.3894                  0                  0        209.3975473
          1        240                  0                  0                  0                  0        29883.90567                  0                  0        209.3975473
          1        241                  0                  0                  0                  0        30008.42194                  0                  0        209.3975473
          1        242                  0                  0                  0                  0        30132.93822                  0                  0        209.3975473
          1        243                  0                  0                  0                  0        30257.45449                  0                  0        209.3975473
          1        244                  0                  0                  0                  0        30381.97076                  0                  0        209.3975473
          1        245                  0                  0                  0                  0        30506.48704                  0                  0        209.3975473
          1        246                  0                  0                  0                  0        30631.00331                  0                  0        209.3975473
          1        247                  0                  0                  0                  0        30755.51959                  0                  0        209.3975473
          1        248                  0                  0                  0                  0        30880.03586                  0                  0        209.3975473
          1        249                  0                  0                  0                  0        31004.55213                  0                  0        209.3975473
          1        250                  0                  0                  0                  0        31129.06841                  0                  0        209.3975473
          1        251                  0                  0                  0                  0        31253.58468                  0                  0        209.3975473
          1        252                  0                  0                  0                  0        31378.10095                  0                  0        209.3975473
          1        253                  0                  0                  0                  0        31502.61723                  0                  0        209.3975473
          1        254                  0                  0                  0                  0         31627.1335                  0                  0        209.3975473
          1        255                  0                  0                  0                  0        31751.64977                  0                  0        209.3975473
